order_item_id,order_id,product_id,quantity,unit_price,total_price
1,ORD_00001,PROD_0440,4,732.55,2930.2
2,ORD_00001,PROD_0265,1,27.05,27.05
3,ORD_00002,PROD_0122,4,44.4,177.6
4,ORD_00002,PROD_0419,1,66.11,66.11
5,ORD_00002,PROD_0132,5,1144.98,5724.9
6,ORD_00002,PROD_0291,1,336.79,336.79
7,ORD_00002,PROD_0321,4,105.64,422.56
8,ORD_00002,PROD_0138,4,951.4,3805.6
9,ORD_00002,PROD_0305,1,685.4,685.4
10,ORD_00003,PROD_0376,5,641.14,3205.7
11,ORD_00003,PROD_0302,3,777.44,2332.32
12,ORD_00003,PROD_0320,4,321.54,1286.16
13,ORD_00003,PROD_0220,4,277.89,1111.56
14,ORD_00003,PROD_0102,1,386.46,386.46
15,ORD_00003,PROD_0024,1,348.83,348.83
16,ORD_00003,PROD_0188,2,381.72,763.44
17,ORD_00003,PROD_0043,3,708.77,2126.31
18,ORD_00004,PROD_0386,1,419.75,419.75
19,ORD_00004,PROD_0486,4,200.04,800.16
20,ORD_00005,PROD_0234,1,946.11,946.11
21,ORD_00006,PROD_0137,3,13.72,41.16
22,ORD_00006,PROD_0286,3,849.78,2549.34
23,ORD_00006,PROD_0437,1,227.47,227.47
24,ORD_00006,PROD_0395,5,318.26,1591.3
25,ORD_00006,PROD_0417,5,824.19,4120.95
26,ORD_00006,PROD_0174,1,14.52,14.52
27,ORD_00006,PROD_0101,2,437.75,875.5
28,ORD_00007,PROD_0002,5,630.99,3154.95
29,ORD_00007,PROD_0196,1,35.19,35.19
30,ORD_00007,PROD_0381,1,581.63,581.63
31,ORD_00007,PROD_0440,5,732.55,3662.75
32,ORD_00007,PROD_0377,1,455.54,455.54
33,ORD_00007,PROD_0312,3,67.24,201.72
34,ORD_00007,PROD_0399,3,333.46,1000.38
35,ORD_00007,PROD_0192,3,107.88,323.64
36,ORD_00008,PROD_0216,5,27.07,135.35
37,ORD_00008,PROD_0243,2,77.34,154.68
38,ORD_00008,PROD_0309,4,147.3,589.2
39,ORD_00008,PROD_0185,3,521.29,1563.87
40,ORD_00008,PROD_0203,1,251.17,251.17
41,ORD_00008,PROD_0305,2,685.4,1370.8
42,ORD_00009,PROD_0220,4,277.89,1111.56
43,ORD_00009,PROD_0043,2,708.77,1417.54
44,ORD_00009,PROD_0226,4,696.76,2787.04
45,ORD_00009,PROD_0369,1,283.52,283.52
46,ORD_00009,PROD_0342,5,495.38,2476.9
47,ORD_00009,PROD_0259,4,977.71,3910.84
48,ORD_00009,PROD_0377,2,455.54,911.08
49,ORD_00009,PROD_0421,4,95.79,383.16
50,ORD_00010,PROD_0300,3,287.82,863.46
51,ORD_00010,PROD_0209,1,734.85,734.85
52,ORD_00010,PROD_0071,4,421.53,1686.12
53,ORD_00010,PROD_0381,4,581.63,2326.52
54,ORD_00011,PROD_0280,2,245.69,491.38
55,ORD_00011,PROD_0472,1,78.4,78.4
56,ORD_00011,PROD_0196,3,35.19,105.57
57,ORD_00011,PROD_0253,2,153.12,306.24
58,ORD_00011,PROD_0235,1,110.22,110.22
59,ORD_00011,PROD_0106,5,480.9,2404.5
60,ORD_00011,PROD_0421,5,95.79,478.95
61,ORD_00011,PROD_0246,3,313.61,940.83
62,ORD_00012,PROD_0095,2,482.41,964.82
63,ORD_00013,PROD_0339,3,1061.23,3183.69
64,ORD_00013,PROD_0329,4,399.57,1598.28
65,ORD_00013,PROD_0484,1,30.98,30.98
66,ORD_00013,PROD_0165,3,401.7,1205.1
67,ORD_00014,PROD_0441,4,564.74,2258.96
68,ORD_00014,PROD_0100,4,76.29,305.16
69,ORD_00014,PROD_0218,2,165.31,330.62
70,ORD_00014,PROD_0366,2,101.94,203.88
71,ORD_00014,PROD_0001,3,492.45,1477.35
72,ORD_00014,PROD_0478,1,426.75,426.75
73,ORD_00014,PROD_0039,4,551.59,2206.36
74,ORD_00015,PROD_0386,1,419.75,419.75
75,ORD_00015,PROD_0339,3,1061.23,3183.69
76,ORD_00015,PROD_0098,1,714.08,714.08
77,ORD_00015,PROD_0196,2,35.19,70.38
78,ORD_00015,PROD_0163,5,86.91,434.55
79,ORD_00015,PROD_0129,1,108.56,108.56
80,ORD_00015,PROD_0305,4,685.4,2741.6
81,ORD_00016,PROD_0118,4,513.64,2054.56
82,ORD_00016,PROD_0147,4,243.74,974.96
83,ORD_00016,PROD_0014,3,277.98,833.94
84,ORD_00016,PROD_0203,3,251.17,753.51
85,ORD_00016,PROD_0197,5,123.74,618.7
86,ORD_00016,PROD_0495,5,859.39,4296.95
87,ORD_00016,PROD_0203,5,251.17,1255.85
88,ORD_00017,PROD_0463,1,630.46,630.46
89,ORD_00017,PROD_0121,4,482.99,1931.96
90,ORD_00017,PROD_0283,5,514.93,2574.65
91,ORD_00017,PROD_0386,2,419.75,839.5
